Date,Token,Wallet,Balance,High,Low,Open,Close
2023-01-01,BTC,Wallet1,0.001,16630.439453125,16521.234375,16547.9140625,16625.080078125
2023-01-02,BTC,Wallet1,0.001,16759.34375,16572.228515625,16625.509765625,16688.470703125
2023-01-03,BTC,Wallet1,0.001,16760.447265625,16622.37109375,16688.84765625,16679.857421875
2023-01-04,BTC,Wallet1,0.001,16964.5859375,16667.763671875,16680.205078125,16863.23828125
2023-01-05,BTC,Wallet1,0.001,16884.021484375,16790.283203125,16863.47265625,16836.736328125
2023-01-06,BTC,Wallet1,0.0069,16991.994140625,16716.421875,16836.47265625,16951.96875
2023-01-07,BTC,Wallet1,0.0069,16975.017578125,16914.19140625,16952.1171875,16955.078125
2023-01-08,BTC,Wallet1,0.0049,17091.14453125,16924.05078125,16954.146484375,17091.14453125
2023-01-09,BTC,Wallet1,0.0049,17389.95703125,17093.9921875,17093.9921875,17196.5546875
2023-01-10,BTC,Wallet1,0.0049,17484.720703125,17162.990234375,17192.94921875,17446.29296875
2023-01-11,BTC,Wallet1,0.0049,17934.896484375,17337.994140625,17446.359375,17934.896484375
2023-01-12,BTC,Wallet1,0.0049,19030.087890625,17995.203125,18117.59375,18869.587890625
2023-01-13,BTC,Wallet1,0.0049,19964.322265625,18753.1640625,18868.90625,19909.57421875
2023-01-14,BTC,Wallet1,0.0049,21075.142578125,19907.828125,19910.537109375,20976.298828125
2023-01-15,BTC,Wallet1,0.0049,20993.748046875,20606.986328125,20977.484375,20880.798828125
2023-01-16,BTC,Wallet1,0.0049,21360.875,20715.74609375,20882.224609375,21169.6328125
2023-01-17,BTC,Wallet1,0.0049,21438.66015625,20978.533203125,21175.833984375,21161.51953125
2023-01-18,BTC,Wallet1,0.0049,21564.501953125,20541.544921875,21161.05078125,20688.78125
2023-01-01,ETH,Wallet1,0.0,1203.475341796875,1192.8853759765625,1196.713623046875,1200.96484375
2023-01-02,ETH,Wallet1,0.0,1219.860595703125,1195.2149658203125,1201.103271484375,1214.6566162109375
2023-01-03,ETH,Wallet1,0.0,1219.0953369140625,1207.4915771484375,1214.7440185546875,1214.77880859375
2023-01-04,ETH,Wallet1,0.0,1264.8074951171875,1213.1688232421875,1214.7186279296875,1256.526611328125
2023-01-05,ETH,Wallet1,0.0,1258.571533203125,1245.173095703125,1256.484619140625,1250.4385986328125
2023-01-06,ETH,Wallet1,0.0,1273.2203369140625,1240.947509765625,1250.458984375,1269.3790283203125
2023-01-07,ETH,Wallet1,0.0,1270.5982666015625,1262.2711181640625,1269.4197998046875,1264.2703857421875
2023-01-08,ETH,Wallet1,0.0,1287.3594970703125,1260.226806640625,1264.181884765625,1287.3594970703125
2023-01-09,ETH,Wallet1,0.0,1342.1441650390625,1286.6807861328125,1287.4508056640625,1321.5389404296875
2023-01-10,ETH,Wallet1,0.0,1342.7572021484375,1318.5272216796875,1321.3955078125,1336.5860595703125
2023-01-11,ETH,Wallet1,0.0,1387.9327392578125,1323.5831298828125,1336.48681640625,1387.9327392578125
2023-01-12,ETH,Wallet1,0.0,1432.28125,1378.422119140625,1405.3514404296875,1417.9384765625
2023-01-13,ETH,Wallet1,0.0,1461.6727294921875,1404.02392578125,1417.9461669921875,1451.6148681640625
2023-01-14,ETH,Wallet1,0.0,1563.7391357421875,1450.9884033203125,1451.428466796875,1550.7069091796875
2023-01-15,ETH,Wallet1,0.0,1556.9508056640625,1520.893798828125,1550.7315673828125,1552.4794921875
2023-01-16,ETH,Wallet1,0.0,1594.039794921875,1529.5736083984375,1552.519287109375,1576.83349609375
2023-01-17,ETH,Wallet1,0.0,1594.0009765625,1553.3359375,1577.107421875,1567.8460693359375
2023-01-18,ETH,Wallet1,0.0,1602.106689453125,1509.4228515625,1567.698974609375,1515.5069580078125
2023-01-01,BTC,Wallet2,0.001,16630.439453125,16521.234375,16547.9140625,16625.080078125
2023-01-02,BTC,Wallet2,0.001,16759.34375,16572.228515625,16625.509765625,16688.470703125
2023-01-03,BTC,Wallet2,0.001,16760.447265625,16622.37109375,16688.84765625,16679.857421875
2023-01-04,BTC,Wallet2,0.001,16964.5859375,16667.763671875,16680.205078125,16863.23828125
2023-01-05,BTC,Wallet2,0.001,16884.021484375,16790.283203125,16863.47265625,16836.736328125
2023-01-06,BTC,Wallet2,0.0069,16991.994140625,16716.421875,16836.47265625,16951.96875
2023-01-07,BTC,Wallet2,0.0069,16975.017578125,16914.19140625,16952.1171875,16955.078125
2023-01-08,BTC,Wallet2,0.0049,17091.14453125,16924.05078125,16954.146484375,17091.14453125
2023-01-09,BTC,Wallet2,0.0049,17389.95703125,17093.9921875,17093.9921875,17196.5546875
2023-01-10,BTC,Wallet2,0.0049,17484.720703125,17162.990234375,17192.94921875,17446.29296875
2023-01-11,BTC,Wallet2,0.0049,17934.896484375,17337.994140625,17446.359375,17934.896484375
2023-01-12,BTC,Wallet2,0.0049,19030.087890625,17995.203125,18117.59375,18869.587890625
2023-01-13,BTC,Wallet2,0.0049,19964.322265625,18753.1640625,18868.90625,19909.57421875
2023-01-14,BTC,Wallet2,0.0049,21075.142578125,19907.828125,19910.537109375,20976.298828125
2023-01-15,BTC,Wallet2,0.0049,20993.748046875,20606.986328125,20977.484375,20880.798828125
2023-01-16,BTC,Wallet2,0.0049,21360.875,20715.74609375,20882.224609375,21169.6328125
2023-01-17,BTC,Wallet2,0.0049,21438.66015625,20978.533203125,21175.833984375,21161.51953125
2023-01-18,BTC,Wallet2,0.0049,21564.501953125,20541.544921875,21161.05078125,20688.78125
2023-01-01,ETH,Wallet2,0.0,1203.475341796875,1192.8853759765625,1196.713623046875,1200.96484375
2023-01-02,ETH,Wallet2,0.0,1219.860595703125,1195.2149658203125,1201.103271484375,1214.6566162109375
